REGION,DIVISION,STATEFP,STATENS,GEOID,GEOIDFQ,STUSPS,NAME,LSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
3,5,54,01779805,54,0400000US54,WV,West Virginia,00,G4000,A,62266499712,489003081,+38.6472854,-080.6183274
3,5,12,00294478,12,0400000US12,FL,Florida,00,G4000,A,138963763779,45970528648,+28.3989775,-082.5143005
2,3,17,01779784,17,0400000US17,IL,Illinois,00,G4000,A,143778366814,6216688589,+40.1028754,-089.1526108
2,4,27,00662849,27,0400000US27,MN,Minnesota,00,G4000,A,206244555303,18937471947,+46.3159573,-094.1996043
3,5,24,01714934,24,0400000US24,MD,Maryland,00,G4000,A,25151736098,6979330958,+38.9466584,-076.6744939
1,1,44,01219835,44,0400000US44,RI,Rhode Island,00,G4000,A,2677763372,1323686976,+41.5964850,-071.5264901
4,8,16,01779783,16,0400000US16,ID,Idaho,00,G4000,A,214049886849,2391614331,+44.3484222,-114.5588538
1,1,33,01779794,33,0400000US33,NH,New Hampshire,00,G4000,A,23190126365,1025956733,+43.6727945,-071.5841886
3,5,37,01027616,37,0400000US37,NC,North Carolina,00,G4000,A,125935880061,13453540851,+35.5397100,-079.1308636
1,1,50,01779802,50,0400000US50,VT,Vermont,00,G4000,A,23872589127,1030648383,+44.0589536,-072.6710173
1,1,09,01779780,09,0400000US09,CT,Connecticut,00,G4000,A,12541750274,1816364426,+41.5798637,-072.7466572
3,5,10,01779781,10,0400000US10,DE,Delaware,00,G4000,A,5046703781,1399207462,+38.9985661,-075.4416440
4,8,35,00897535,35,0400000US35,NM,New Mexico,00,G4000,A,314198587197,726463919,+34.4346843,-106.1316181
4,9,06,01779778,06,0400000US06,CA,California,00,G4000,A,403673296401,20291770234,+37.1551773,-119.5434183
1,2,34,01779795,34,0400000US34,NJ,New Jersey,00,G4000,A,19049183398,3532816229,+40.1072744,-074.6652012
2,3,55,01779806,55,0400000US55,WI,Wisconsin,00,G4000,A,140292627460,29343084365,+44.6309071,-089.7093916
